GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
0400000US01,01,Alabama,1841665,12421,1203689,13513,856974,12202,637976,11803,8.6,0.3,5.3,0.4,1.5,0.2,15.9,0.7,6.5,0.3,3.8,0.3,1.7,0.2,12.0,0.7,12.2,0.4,8.5,0.4,5.1,0.4,19.7,0.8,10.5,0.4,9.3,0.4,7.4,0.5,12.8,0.7,13.6,0.4,13.4,0.6,12.4,0.7,13.7,0.7,17.7,0.4,19.4,0.6,20.7,0.8,14.0,0.6,11.2,0.4,14.0,0.5,17.0,0.6,5.5,0.5,12.2,0.4,16.0,0.6,20.5,0.7,4.4,0.4,3.9,0.2,5.3,0.3,7.1,0.4,1.0,0.2,3.6,0.2,5.0,0.2,6.7,0.3,1.0,0.2,48123,768,61512,726,76606,1236,26647,661,66337,723,79810,1098,94888,1302,38979,948,37.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),35.6,(X)
0400000US02,02,Alaska,250741,3074,167401,3753,123825,4037,83340,3526,4.4,0.7,3.0,0.6,1.2,0.3,8.6,1.6,3.0,0.4,1.8,0.5,1.0,0.4,5.9,1.1,6.7,0.7,4.7,0.9,2.8,0.8,11.7,1.7,7.9,0.8,6.8,1.0,4.8,1.0,10.9,1.6,10.6,0.9,8.4,0.9,7.1,1.2,14.5,1.8,18.6,1.2,18.5,1.3,16.2,1.6,20.0,2.2,13.5,0.9,14.5,1.2,15.4,1.4,10.4,1.5,19.7,1.2,22.4,1.5,26.8,2.0,12.4,2.0,8.4,0.8,10.6,1.0,12.7,1.4,3.2,1.0,7.3,0.8,9.2,1.1,11.8,1.4,2.4,0.7,73181,2628,86831,2820,101562,2545,48441,2656,92674,2705,104901,3339,120220,4089,61641,3070,32.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.9,(X)
0400000US04,04,Arizona,2552972,11005,1652325,14123,1206518,14752,900647,12664,6.7,0.3,4.2,0.3,2.0,0.2,12.8,0.6,4.3,0.2,2.7,0.2,1.6,0.2,7.5,0.5,9.7,0.3,7.1,0.4,4.7,0.3,15.2,0.6,9.5,0.3,8.1,0.4,6.4,0.4,12.4,0.5,14.0,0.3,13.3,0.5,11.8,0.4,15.9,0.6,18.7,0.4,19.7,0.4,19.8,0.5,16.5,0.7,12.7,0.3,14.5,0.4,16.1,0.5,8.5,0.4,13.9,0.3,17.1,0.5,20.7,0.6,7.0,0.4,5.2,0.2,6.5,0.3,8.1,0.4,2.2,0.2,5.4,0.2,6.8,0.3,8.9,0.4,2.2,0.3,56581,516,67886,759,80427,982,36607,698,77451,752,89647,891,103337,1240,51270,1119,37.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),38.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.8,(X)
0400000US05,05,Arkansas,1153082,8560,754699,11377,552852,9732,398383,9741,8.2,0.4,4.6,0.4,1.6,0.3,16.4,0.9,6.6,0.4,3.5,0.3,1.5,0.3,13.0,0.8,12.3,0.5,8.4,0.6,6.1,0.5,20.3,1.0,11.8,0.5,10.8,0.5,8.5,0.6,13.8,0.9,14.8,0.5,15.6,0.7,14.6,0.8,13.2,0.8,18.2,0.6,20.4,0.7,22.0,0.8,13.0,1.0,10.9,0.5,13.9,0.7,16.4,0.7,5.0,0.6,10.2,0.4,13.2,0.5,16.9,0.7,3.8,0.6,4.0,0.3,5.4,0.4,7.0,0.6,1.0,0.3,3.0,0.2,4.1,0.3,5.4,0.4,0.6,0.2,45869,760,57421,1216,69790,1582,25188,724,63560,923,76134,1261,88714,1425,37350,1350,35.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),34.4,(X)
0400000US06,06,California,13005097,17539,8910617,24114,6446965,27509,4094480,23476,5.1,0.1,3.3,0.1,1.5,0.1,10.3,0.3,4.3,0.1,2.5,0.1,1.3,0.1,9.0,0.2,7.9,0.1,6.6,0.1,4.6,0.1,11.8,0.2,7.6,0.1,7.1,0.1,5.5,0.2,9.4,0.2,10.9,0.1,10.6,0.2,9.0,0.2,11.8,0.3,16.0,0.2,15.9,0.2,15.0,0.2,15.9,0.3,12.3,0.2,12.8,0.2,13.3,0.2,10.4,0.3,16.4,0.2,18.2,0.2,20.8,0.2,11.4,0.3,8.4,0.1,9.8,0.2,12.0,0.2,4.6,0.2,11.1,0.1,13.2,0.2,17.0,0.2,5.4,0.2,71805,294,82009,339,99515,624,46599,507,101761,503,113488,642,131812,786,69970,667,36.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.3,(X)
0400000US08,08,Colorado,2139207,8774,1366807,9822,1062314,11050,772400,9837,5.1,0.3,2.7,0.2,1.2,0.2,10.0,0.6,3.4,0.2,1.9,0.1,1.0,0.1,6.2,0.4,7.0,0.3,4.4,0.3,2.8,0.2,12.1,0.7,7.8,0.3,6.1,0.4,4.7,0.3,11.4,0.6,12.5,0.3,11.0,0.4,9.2,0.4,15.8,0.7,17.9,0.4,17.4,0.5,16.6,0.6,19.1,0.6,13.6,0.3,15.4,0.4,16.0,0.5,9.9,0.5,17.2,0.4,20.8,0.5,23.9,0.6,9.7,0.5,7.6,0.3,10.0,0.4,11.8,0.5,3.0,0.3,7.8,0.2,10.4,0.3,12.8,0.4,2.8,0.2,69117,780,84918,1121,97433,1170,44139,1036,92465,963,109022,1369,122688,1671,59560,1185,33.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.6,(X)
0400000US09,09,Connecticut,1356762,6513,877293,8542,649561,8308,479469,8915,4.9,0.3,2.8,0.3,1.1,0.2,9.6,0.7,3.6,0.3,1.8,0.3,0.7,0.2,7.2,0.7,7.1,0.4,4.4,0.3,2.2,0.3,13.0,0.8,7.4,0.4,5.9,0.4,3.4,0.4,11.1,0.6,11.1,0.4,9.7,0.5,7.6,0.5,13.9,0.9,16.2,0.5,14.7,0.6,13.6,0.7,18.6,0.8,12.6,0.5,13.8,0.6,14.3,0.6,10.2,0.7,17.0,0.5,20.6,0.6,23.6,0.8,9.3,0.6,8.7,0.4,11.1,0.5,13.6,0.7,3.8,0.5,11.3,0.4,15.4,0.5,19.9,0.7,3.4,0.4,74168,1345,93870,1823,112411,1769,44532,1308,107420,1598,129913,2323,153080,2847,62497,1427,34.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.5,(X)
0400000US10,10,Delaware,357937,4266,235795,5755,176947,5266,122142,5418,7.2,0.7,4.6,0.8,3.0,0.7,12.5,1.6,4.2,0.6,1.9,0.5,0.7,0.3,9.1,1.5,7.7,0.7,5.6,0.8,3.0,0.7,12.9,1.7,9.3,0.8,7.9,1.1,5.8,1.1,12.6,1.4,11.6,0.9,10.5,1.1,8.9,1.3,14.0,1.6,17.9,1.0,18.4,1.5,18.0,1.5,17.0,1.8,13.5,1.0,14.9,1.2,16.5,1.4,9.5,1.3,14.6,1.0,17.8,1.3,20.5,1.4,7.9,1.2,7.2,0.8,9.4,1.0,11.8,1.3,2.7,0.8,6.8,0.7,9.0,0.9,11.7,1.2,1.7,0.6,62852,2464,77082,2857,90405,2095,37458,2414,86577,2779,101186,3321,116792,3936,53515,3891,35.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),34.1,(X)
0400000US11,11,District of Columbia,281475,3302,119357,4070,70576,3177,162118,4407,9.2,1.1,6.4,1.1,1.3,0.7,11.4,1.5,4.6,0.6,4.0,1.2,0.9,0.6,5.1,0.9,6.8,0.8,6.6,1.2,2.4,1.1,7.2,1.0,5.8,0.8,4.9,1.1,2.4,0.9,6.4,1.1,7.1,0.8,5.6,1.1,4.3,1.1,8.5,1.2,12.9,1.1,9.2,1.3,5.9,1.3,15.6,1.5,11.1,0.9,9.9,1.5,8.5,1.8,12.0,1.2,16.5,1.1,16.2,1.6,18.1,2.2,16.7,1.7,9.4,0.8,11.4,1.4,15.8,1.8,7.8,1.0,16.7,0.9,25.7,1.5,40.6,2.3,9.3,1.0,82372,2651,106528,4406,170210,9916,68067,3205,121095,3228,155436,6125,216463,9753,93057,3744,31.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.2,(X)
