GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than high school graduate,Margin of Error; Total: - Less than high school graduate,Estimate; Total: - High school graduate (includes equivalency),Margin of Error; Total: - High school graduate (includes equivalency),Estimate; Total: - Some college or associate's degree,Margin of Error; Total: - Some college or associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Graduate or professional degree,Margin of Error; Total: - Graduate or professional degree,Estimate; Total: - Born in state of residence:,Margin of Error; Total: - Born in state of residence:,Estimate; Total: - Born in state of residence: - Less than high school graduate,Margin of Error; Total: - Born in state of residence: - Less than high school graduate,Estimate; Total: - Born in state of residence: - High school graduate (includes equivalency),Margin of Error; Total: - Born in state of residence: - High school graduate (includes equivalency),Estimate; Total: - Born in state of residence: - Some college or associate's degree,Margin of Error; Total: - Born in state of residence: - Some college or associate's degree,Estimate; Total: - Born in state of residence: - Bachelor's degree,Margin of Error; Total: - Born in state of residence: - Bachelor's degree,Estimate; Total: - Born in state of residence: - Graduate or professional degree,Margin of Error; Total: - Born in state of residence: - Graduate or professional degree,Estimate; Total: - Born in other state in the United States:,Margin of Error; Total: - Born in other state in the United States:,Estimate; Total: - Born in other state in the United States: - Less than high school graduate,Margin of Error; Total: - Born in other state in the United States: - Less than high school graduate,Estimate; Total: - Born in other state in the United States: - High school graduate (includes equivalency),Margin of Error; Total: - Born in other state in the United States: - High school graduate (includes equivalency),Estimate; Total: - Born in other state in the United States: - Some college or associate's degree,Margin of Error; Total: - Born in other state in the United States: - Some college or associate's degree,Estimate; Total: - Born in other state in the United States: - Bachelor's degree,Margin of Error; Total: - Born in other state in the United States: - Bachelor's degree,Estimate; Total: - Born in other state in the United States: - Graduate or professional degree,Margin of Error; Total: - Born in other state in the United States: - Graduate or professional degree,Estimate; Total: - Native; born outside the United States:,Margin of Error; Total: - Native; born outside the United States:,Estimate; Total: - Native; born outside the United States: - Less than high school graduate,Margin of Error; Total: - Native; born outside the United States: - Less than high school graduate,Estimate; Total: - Native; born outside the United States: - High school graduate (includes equivalency),Margin of Error; Total: - Native; born outside the United States: - High school graduate (includes equivalency),Estimate; Total: - Native; born outside the United States: - Some college or associate's degree,Margin of Error; Total: - Native; born outside the United States: - Some college or associate's degree,Estimate; Total: - Native; born outside the United States: - Bachelor's degree,Margin of Error; Total: - Native; born outside the United States: - Bachelor's degree,Estimate; Total: - Native; born outside the United States: - Graduate or professional degree,Margin of Error; Total: - Native; born outside the United States: - Graduate or professional degree,Estimate; Total: - Foreign born:,Margin of Error; Total: - Foreign born:,Estimate; Total: - Foreign born: - Less than high school graduate,Margin of Error; Total: - Foreign born: - Less than high school graduate,Estimate; Total: - Foreign born: - High school graduate (includes equivalency),Margin of Error; Total: - Foreign born: - High school graduate (includes equivalency),Estimate; Total: - Foreign born: - Some college or associate's degree,Margin of Error; Total: - Foreign born: - Some college or associate's degree,Estimate; Total: - Foreign born: - Bachelor's degree,Margin of Error; Total: - Foreign born: - Bachelor's degree,Estimate; Total: - Foreign born: - Graduate or professional degree,Margin of Error; Total: - Foreign born: - Graduate or professional degree
0400000US01,01,Alabama,3309607,5907,446943,10716,1029982,16141,987978,13566,528019,10136,316685,8377,2162139,15261,316800,9849,748238,14393,640665,11092,294942,6902,161494,6289,977502,15787,90298,5185,242405,8836,311820,8684,203203,7780,129776,5860,34336,3073,2006,874,6721,1533,12633,2083,8044,1678,4932,1231,135630,5634,37839,3455,32618,3653,22860,2781,21830,3112,20483,2273
0400000US02,02,Alaska,481561,2194,40036,2946,133132,5152,169709,5313,86444,4760,52240,3278,139475,4522,17001,2000,48853,2831,47302,3355,19412,2047,6907,1393,279470,5512,12589,1849,69404,3870,102197,4030,55108,3658,40172,2965,13422,2420,1442,853,2909,1074,6021,1284,2131,687,919,425,49194,3386,9004,1591,11966,1799,14189,1496,9793,1709,4242,1136
0400000US04,04,Arizona,4711362,2707,604898,13931,1136493,15865,1586879,18647,863062,15327,520030,11588,1130181,19480,149670,7088,316410,9833,416672,12759,173457,7054,73972,3966,2696915,19902,167360,7173,616795,13507,988274,17215,565820,12973,358666,9016,72601,4977,8188,1617,13723,2037,25426,2679,16621,2373,8643,1384,811665,14994,279680,9574,189565,8244,156507,6806,107164,5940,78749,5468
0400000US05,05,Arkansas,2008398,4671,267542,7996,683285,11877,587457,11564,301294,8647,168820,6386,1090418,11933,139180,6197,402888,10013,316553,8423,152044,6248,79753,4809,782482,11773,79881,4644,249274,8212,248735,7969,129959,6313,74633,4090,17092,3001,731,459,3333,877,5914,1620,4281,1323,2833,1220,118406,4103,47750,3423,27790,3199,16255,2612,15010,2218,11601,1612
0400000US06,06,California,26679273,5961,4449302,35163,5541182,36178,7712542,40490,5616449,40234,3359798,29625,11085612,40755,922185,16549,2629828,27958,4095967,26902,2317566,25733,1120066,15525,5521389,36064,324708,10915,924657,16225,1687373,19244,1493389,20201,1091262,16139,378141,10818,43702,3975,66031,3972,122387,7033,93206,4664,52815,3844,9694131,41461,3158707,29321,1920666,24919,1806815,23159,1712288,25522,1095655,18002
0400000US08,08,Colorado,3822068,3950,319636,10562,815595,14267,1112140,14640,994894,11943,579803,11528,1141214,17244,87250,5382,321723,9332,378487,10015,250883,8608,102871,5182,2155287,17913,89558,5463,378399,10960,630592,12440,650966,11443,405772,9660,61217,4193,3864,1313,10246,2017,22254,2686,15473,2030,9380,1452,464350,10261,138964,6359,105227,6947,80807,4743,77572,4423,61780,4173
0400000US09,09,Connecticut,2493854,1813,239289,8960,676911,14998,613047,12994,533791,10420,430816,8488,1158197,13188,75137,4972,373449,11037,328339,9634,233039,7704,148233,5654,773092,11821,35563,2817,151244,6306,176074,7711,211327,7013,198884,6433,101253,5419,35999,3654,28926,3191,21192,2863,8179,1323,6957,1525,461312,10699,92590,6134,123292,7758,87442,6236,81246,5293,76742,4489
0400000US10,10,Delaware,673686,1263,63551,5133,218309,7652,179743,5855,121442,5053,90641,4975,234545,7268,20849,2574,96226,6052,66223,4259,33171,2821,18076,1825,342470,7925,20954,2598,97492,5198,96201,5064,72727,4228,55096,4056,11423,2128,1800,799,4129,1073,2893,995,1564,767,1037,496,85248,5323,19948,3374,20462,2773,14426,2727,13980,1971,16432,2197
0400000US11,11,District of Columbia,494614,192,48331,4147,85033,5097,77731,4684,118172,5279,165347,5508,143505,5361,18590,3076,50854,4493,38851,3235,20700,2721,14510,1985,252329,5746,10249,1736,20863,2440,27235,2933,78293,4534,115689,5032,11313,2269,1266,640,1336,1059,1322,669,3439,1243,3950,808,87467,4514,18226,3005,11980,2248,10323,1666,15740,2369,31198,2986
0400000US12,12,Florida,15020177,8023,1745933,28467,4330040,38469,4489712,31639,2839500,31510,1614992,19343,3405418,33086,376756,14095,1100455,21773,1086336,19633,580330,14465,261541,7944,7153791,33447,494896,13414,1979503,25752,2307611,23354,1464828,18675,906953,14521,595835,20361,86341,6795,155953,10113,191597,9516,107505,8103,54439,4362,3865133,31860,787940,19010,1094129,23375,904168,17851,686837,16584,392059,12298
0400000US13,13,Georgia,6896026,7876,893436,18273,1936501,27688,1934611,23119,1311611,19917,819867,17793,3149190,28428,466289,15127,1096735,22278,900001,19008,445962,14790,240203,9361,2728498,28304,180484,8424,606286,16146,845794,19154,661964,12379,433970,11206,99393,5814,9366,2107,20643,2688,33553,3521,22246,2641,13585,2182,918945,16427,237297,10272,212837,9229,155263,7679,181439,8986,132109,6783
0400000US15,15,Hawaii,997744,1487,77131,4858,280494,7677,311439,7793,216993,6938,111687,5576,455690,10279,22742,2606,155460,6293,146422,5615,93011,4428,38055,2647,271583,5707,7891,1273,51564,3700,92031,4338,70383,3690,49714,3562,28652,2876,2187,767,6616,1163,9751,1530,6274,1279,3824,906,241819,9698,44311,4188,66854,4539,63235,4428,47325,5265,20094,2454
0400000US16,16,Idaho,1111788,2996,101739,6065,313029,8707,399362,9222,202800,6832,94858,5302,424697,9028,30613,3314,141415,7533,157990,7005,67330,4821,27349,3048,591705,9585,37159,3317,151376,6457,219892,7820,122745,5556,60533,3960,11561,1871,651,420,3014,1305,4686,1173,2238,684,972,550,83825,5372,33316,3049,17224,2477,16794,2329,10487,1717,6004,1607
0400000US17,17,Illinois,8707057,4107,949880,14248,2272174,23786,2487198,25802,1829903,18718,1167902,17659,5171684,23316,356570,8376,1482039,17995,1710771,20255,1040115,16063,582189,11370,1797240,18675,132691,5770,373134,10089,469826,9421,465212,11388,356377,9514,102765,4569,23136,2785,24298,2276,28098,2686,17043,2173,10190,1520,1635368,16926,437483,11206,392703,12209,278503,8728,307533,9401,219146,7788
0400000US18,18,Indiana,4435317,5484,504862,13397,1450767,16869,1290230,17957,753268,13970,436190,11868,2774473,19124,277021,9948,1009630,15342,830694,14179,446252,11088,210876,7133,1354149,17089,141383,6179,377029,9505,406541,11724,258027,8139,171169,7378,30756,3199,3555,964,7756,1667,8801,1565,6397,1564,4247,1187,275939,8752,82903,6104,56352,4749,44194,3930,42592,4020,49898,4186
0400000US19,19,Iowa,2093909,4112,165605,5829,639230,9342,683254,10298,406630,8590,199190,6538,1417060,10082,82657,3775,476509,8391,481420,7419,266816,6556,109658,4732,532672,10693,40143,3008,129690,4874,174504,7008,119939,4935,68396,4027,13213,1584,1048,472,3426,900,4990,1037,2649,761,1100,474,130964,6380,41757,3694,29605,3174,22340,2650,17226,2415,20036,2481
0400000US20,20,Kansas,1904528,4714,171263,6105,490769,9256,599754,10133,403542,8004,239200,7287,989399,10000,65180,4031,287060,7174,338143,7681,201960,6327,97056,5061,728362,10302,49244,2765,162244,5703,227048,7486,174862,5743,114964,4901,17732,2177,1148,461,3780,1148,5808,1133,4601,887,2395,677,169035,5660,55691,3625,37685,3664,28755,3165,22119,2225,24785,2387
0400000US21,21,Kentucky,3018953,4219,412486,10500,997060,13324,885855,14872,423916,10015,299636,9995,1972157,14733,297000,8355,707069,12736,571234,11964,238749,8344,158105,6383,890943,13184,85051,5434,247486,7986,281320,7522,159597,6436,117489,5814,23244,2558,1498,767,6564,1158,8025,1665,4527,1089,2630,768,132609,6099,28937,3187,35941,4672,25276,2755,21043,2473,21412,2322
0400000US22,22,Louisiana,3120277,5335,463819,13119,1061526,16630,852407,15236,482439,11918,260086,10268,2322351,14694,351086,11790,845015,13311,634515,12565,331185,9554,160550,8513,614216,12222,62115,4731,171224,8632,182336,7365,121251,6412,77290,4574,22688,2464,2132,721,4272,1014,7220,1619,5848,1079,3216,920,161022,7234,48486,3990,41015,3318,28336,2628,24155,3839,19030,2501
0400000US23,23,Maine,971740,1752,74787,4420,300716,8414,284630,6494,193860,5884,117747,5446,569470,8033,51195,3980,212786,7089,172739,5694,93316,4641,39434,2721,352492,8271,16663,1878,75886,4421,100346,4375,91055,3964,68542,4074,11768,1593,1077,443,2900,755,3985,1064,2124,726,1682,681,38010,2779,5852,1244,9144,1617,7560,1136,7365,1241,8089,1470
0400000US24,24,Maryland,4167604,3603,420009,12571,1020828,14413,1074187,17936,889090,13074,763490,12591,1569293,15659,162408,7236,522369,11326,446025,11252,276984,7724,161507,5714,1738978,16240,94313,5560,339592,9374,457727,11418,429144,10294,418202,9060,64021,4086,4883,1176,9883,1620,18061,2563,15761,1786,15433,1942,795312,13643,158405,7350,148984,7955,152374,8518,167201,7229,168348,7263
0400000US25,25,Massachusetts,4788573,2290,442458,11915,1163526,17509,1103918,16371,1146586,15427,932085,12215,2573212,19871,160126,7805,735696,15433,700250,14057,612439,12829,364701,7892,1082141,14436,42055,3487,151606,6717,199372,6074,338832,8785,350276,7775,150352,6870,42854,3960,41992,3982,31564,3451,17617,2056,16325,1986,982868,14987,197423,8650,234232,9675,172732,8835,177698,7361,200783,7396
0400000US26,26,Michigan,6819310,4660,619966,12194,1969839,19342,2243941,19771,1201375,16053,784189,11776,4904302,16365,375923,10343,1520088,17106,1732150,17253,821578,12643,454563,8914,1288652,14984,116407,4943,323303,8266,390538,8690,259353,6853,199051,5667,51110,3453,6464,1223,12038,1481,16702,1841,8677,1419,7229,1107,575246,12860,121172,5736,114410,6288,104551,5935,111767,5536,123346,5777
